,image_name,x,y,score
0,RPE1wt_CEP63+CETN2+PCNT_1_001_003_max_C1,1301,2017,0.8945168256759644
1,RPE1wt_CEP63+CETN2+PCNT_1_001_003_max_C1,1301,2014,0.23297174274921417
2,RPE1wt_CEP63+CETN2+PCNT_1_001_003_max_C1,1300,2012,0.11946485191583633
3,RPE1wt_CEP63+CETN2+PCNT_1_001_003_max_C1,457,1943,0.8625155687332153
4,RPE1wt_CEP63+CETN2+PCNT_1_001_003_max_C1,1414,1815,0.9543248414993286
5,RPE1wt_CEP63+CETN2+PCNT_1_001_003_max_C1,1615,1791,0.13344521820545197
6,RPE1wt_CEP63+CETN2+PCNT_1_001_003_max_C1,1611,1787,0.8243257403373718
7,RPE1wt_CEP63+CETN2+PCNT_1_001_003_max_C1,76,1763,0.9326153993606567
8,RPE1wt_CEP63+CETN2+PCNT_1_001_003_max_C1,82,1760,0.6460659503936768
9,RPE1wt_CEP63+CETN2+PCNT_1_001_003_max_C1,559,1731,0.6124652028083801
10,RPE1wt_CEP63+CETN2+PCNT_1_001_003_max_C1,561,1723,0.9657445549964905
11,RPE1wt_CEP63+CETN2+PCNT_1_001_003_max_C1,824,1662,0.5153626203536987
12,RPE1wt_CEP63+CETN2+PCNT_1_001_003_max_C1,824,1656,0.9427343606948853
13,RPE1wt_CEP63+CETN2+PCNT_1_001_003_max_C1,57,1622,0.9448317289352417
14,RPE1wt_CEP63+CETN2+PCNT_1_001_003_max_C1,50,1619,0.8601015210151672
15,RPE1wt_CEP63+CETN2+PCNT_1_001_003_max_C1,2043,1611,0.22450284659862518
16,RPE1wt_CEP63+CETN2+PCNT_1_001_003_max_C1,2040,1604,0.9225878715515137
17,RPE1wt_CEP63+CETN2+PCNT_1_001_003_max_C1,1668,1507,0.2611846327781677
18,RPE1wt_CEP63+CETN2+PCNT_1_001_003_max_C1,1668,1501,0.9142764210700989
19,RPE1wt_CEP63+CETN2+PCNT_1_001_003_max_C1,931,1488,0.9069914817810059
20,RPE1wt_CEP63+CETN2+PCNT_1_001_003_max_C1,932,1482,0.17257961630821228
21,RPE1wt_CEP63+CETN2+PCNT_1_001_003_max_C1,336,1446,0.9432196617126465
22,RPE1wt_CEP63+CETN2+PCNT_1_001_003_max_C1,339,1436,0.9040883183479309
23,RPE1wt_CEP63+CETN2+PCNT_1_001_003_max_C1,1488,1393,0.938361644744873
24,RPE1wt_CEP63+CETN2+PCNT_1_001_003_max_C1,1911,1356,0.8358774781227112
25,RPE1wt_CEP63+CETN2+PCNT_1_001_003_max_C1,1904,1349,0.9173558950424194
26,RPE1wt_CEP63+CETN2+PCNT_1_001_003_max_C1,183,1242,0.9320688843727112
27,RPE1wt_CEP63+CETN2+PCNT_1_001_003_max_C1,1004,1181,0.6571465134620667
28,RPE1wt_CEP63+CETN2+PCNT_1_001_003_max_C1,1005,1176,0.3178384304046631
29,RPE1wt_CEP63+CETN2+PCNT_1_001_003_max_C1,629,1100,0.2485623061656952
30,RPE1wt_CEP63+CETN2+PCNT_1_001_003_max_C1,631,1094,0.9017415642738342
31,RPE1wt_CEP63+CETN2+PCNT_1_001_003_max_C1,1750,1070,0.9124836325645447
32,RPE1wt_CEP63+CETN2+PCNT_1_001_003_max_C1,1757,1069,0.24332545697689056
33,RPE1wt_CEP63+CETN2+PCNT_1_001_003_max_C1,1621,965,0.9245611429214478
34,RPE1wt_CEP63+CETN2+PCNT_1_001_003_max_C1,1616,960,0.6209977865219116
35,RPE1wt_CEP63+CETN2+PCNT_1_001_003_max_C1,1421,954,0.9658012986183167
36,RPE1wt_CEP63+CETN2+PCNT_1_001_003_max_C1,1217,923,0.930147111415863
37,RPE1wt_CEP63+CETN2+PCNT_1_001_003_max_C1,1932,833,0.8736932873725891
38,RPE1wt_CEP63+CETN2+PCNT_1_001_003_max_C1,1938,829,0.919259786605835
39,RPE1wt_CEP63+CETN2+PCNT_1_001_003_max_C1,1171,708,0.7107837200164795
40,RPE1wt_CEP63+CETN2+PCNT_1_001_003_max_C1,1169,703,0.22224284708499908
41,RPE1wt_CEP63+CETN2+PCNT_1_001_003_max_C1,148,626,0.9311507940292358
42,RPE1wt_CEP63+CETN2+PCNT_1_001_003_max_C1,144,613,0.9470586776733398
43,RPE1wt_CEP63+CETN2+PCNT_1_001_003_max_C1,735,595,0.955669105052948
44,RPE1wt_CEP63+CETN2+PCNT_1_001_003_max_C1,1688,562,0.9410608410835266
45,RPE1wt_CEP63+CETN2+PCNT_1_001_003_max_C1,243,296,0.9765714406967163
46,RPE1wt_CEP63+CETN2+PCNT_1_001_003_max_C1,1477,256,0.10277426987886429
47,RPE1wt_CEP63+CETN2+PCNT_1_001_003_max_C1,1481,253,0.9010719656944275
48,RPE1wt_CEP63+CETN2+PCNT_1_001_003_max_C1,1066,85,0.84220290184021
49,RPE1wt_CEP63+CETN2+PCNT_1_001_003_max_C1,1074,77,0.9505276679992676
50,RPE1wt_CEP63+CETN2+PCNT_1_001_003_max_C1,1827,66,0.941416323184967
51,RPE1wt_CEP63+CETN2+PCNT_1_001_003_max_C1,1927,12,0.9660019278526306
52,RPE1wt_CEP63+CETN2+PCNT_1_003_001_max_C1,467,1924,0.8165172934532166
53,RPE1wt_CEP63+CETN2+PCNT_1_003_001_max_C1,1420,1916,0.7992038130760193
54,RPE1wt_CEP63+CETN2+PCNT_1_003_001_max_C1,786,1826,0.6202844977378845
55,RPE1wt_CEP63+CETN2+PCNT_1_003_001_max_C1,787,1821,0.8292181491851807
56,RPE1wt_CEP63+CETN2+PCNT_1_003_001_max_C1,128,1813,0.9423247575759888
57,RPE1wt_CEP63+CETN2+PCNT_1_003_001_max_C1,2012,1762,0.898110568523407
